SiteCode,Class,Region_detail,Region,Note
NCSE9087_B,P,SE,East,
NDNV2938,I,GP_N,GP,
NDNV2941,I,GP_N,GP,
NDNV3351,E,GP_N,GP,
NDNV3352,E,GP_N,GP,
NDUB123,U,GP_U,GP,
NDUB124,P,GP_U,GP,
NDUB125,P,GP_U,GP,
NDUB13,I,GP_U,GP,
NDUB5,I,GP_U,GP,
NDUV3319,E,GP_U,GP,
NDUV3320,I,GP_U,GP,
NDUV3321,I,GP_U,GP,
NDUV3323,P,GP_U,GP,
NDUV3331,U,GP_U,GP,
NDUV3333,I,GP_U,GP,
NECB133,E,GP_C,GP,
NECB134,E,GP_C,GP,
NECB135,U,GP_C,GP,
NECB31,P,GP_C,GP,
NECV1198,P,GP_C,GP,
NECV1211,P,GP_C,GP,
NECV1249,I,GP_C,GP,
NECV1274,P,GP_C,GP,
NENV1222,P,GP_N,GP,
NEUB114,I,GP_U,GP,
NEUB116,I,GP_U,GP,
NEUB117,I,GP_U,GP,
NHNE8900_V,I,NE,East,
NHNE8903_V,I,NE,East,
NHNE8905_V,I,NE,East,
NHNE8906_V,U,NE,East,
NHNE9034_BO,P,NE,East,
NHNE9035_BO,P,NE,East,
NHNE9627_V,I,NE,East,
NHNE9628_V,I,NE,East,
NHNE9674_V,E,NE,East,
NHNE9675_V,I,NE,East,
NHNE9676_V,P,NE,East,
NMAW1256,P,AW,West,"Review more closely. Likely P, but field observations don't always match logger readings. Lots of ringing"
NMAW1261,P,AW,West,
NMAW1266,P,AW,West,
NMAW1273,I,AW,West,
NMAW1274,E,AW,West,
NMAW1278,P,AW,West,
NMAW1279,P,AW,West,
NMAW1284,I,AW,West,
NMAW1291,P,AW,West,
NMAW1292,E,AW,West,
NMAW1293,I,AW,West,
NMAW1294,E,AW,West,
NMAW1295,E,AW,West,
NMAW1296,E,AW,West,
NMAW1298,P,AW,West,Logger record short but gage confirms status
NMAW1299,I,AW,West,
NMAW9036,P,AW,West,"Despite L1 giving many dry readings, L2 is consistently wet. Field observations do not corroborate with dry L1 readings"
NMAW9037,E,AW,West,Q&D review of logger data
NMAW9043,E,AW,West,Q&D review of logger data
NMAW9044,I,AW,West,Q&D review of logger data
NMAW9045,U,AW,West,Can't tell from logger or photos. Reject.
NMCB33,I,GP_C,GP,
NMCB34,I,GP_C,GP,
NMCB35,P,GP_C,GP,
NMCV11,P,GP_C,GP,
NMCV45,E,GP_C,GP,
NMCV46,E,GP_C,GP,
NMSB118,I,GP_S,GP,
NMSB2,E,GP_S,GP,
NMSB3,P,GP_S,GP,
NMSB4,E,GP_S,GP,
NMSV32,I,GP_S,GP,
NMSV65,E,GP_S,GP,
NMWM1260,P,WM,West,"Loggers show erroneous dry periods, but USGS gage confirms flow status"
NMWM1300,I,WM,West,
NMWM1301,I,WM,West,
NMWM1302,P,WM,West,
NMWM1303,P,WM,West,
NMWM1305,P,WM,West,"Loggers show erroneous dry periods, but USGS gage confirms flow status"
NMWM1311,P,WM,West,
NMWM1314,P,WM,West,
NMWM1316,P,WM,West,
NMWM1318,E,WM,West,
NMWM1319,E,WM,West,
NMWM1320,E,WM,West,
NMWM1328,P,WM,West,Q&D review of logger data
NMWM1332,P,WM,West,Short record but USGS gage confirms status
NMWM1333,I,WM,West,
NMWM1335,I,WM,West,
NMWM1856,P,WM,West,
NMWM1857,P,WM,West,
NMWM9051,I,WM,West,Q&D review of logger data
NMWM9054,E,WM,West,Q&D review of logger data
NMWM9055,E,WM,West,Q&D review of logger data
NMWM9063,E,WM,West,Q&D review of logger data
NVAW1179,P,AW,West,"L1 shows drying, but L2 does not, nor does USGS gage"
NVAW1182,I,AW,West,Q&D review of logger and gage data
NVAW1187,I,AW,West,"Review of gage data, which is much longer than logger data (which suggests E)"
NVAW1190,I,AW,West,
NVAW1191,I,AW,West,
NVAW1193,P,AW,West,
NVAW1196,P,AW,West,Loggers show some erroneous drying but gage and field observations show wet conditions
NVAW1197,I,AW,West,Q&D inspection of logger data
NVAW1200,I,AW,West,"Logger has many short, clustered flashy flows, but gage shows clearly intermittent"
NVAW1201,P,AW,West,Q&D inspection of logger data
NVAW1204,P,AW,West,
NVAW1205,P,AW,West,
NVAW1206,I,AW,West,
NVAW1207,P,AW,West,
NVAW1208,P,AW,West,Likely P but end of record gets hard to interpret. USGS gage says P
NVAW1210,I,AW,West,
NVAW1211,P,AW,West,
NVAW1212,I,AW,West,
NVAW1219,P,AW,West,Q&D inspection of logger data
NVAW1231,E,AW,West,
NVAW1234,E,AW,West,
NVAW1236,P,AW,West,
NVAW1237,I,AW,West,
NVAW1238,E,AW,West,
NVAW1242,P,AW,West,
NVAW1243,E,AW,West,
NVAW1244,P,AW,West,
NVAW1245,I,AW,West,
NVAW1247,I,AW,West,
NVAW9019,E,AW,West,Q&D inspection of logger data
NVAW9229,E,AW,West,Q&D inspection of logger data
NVAW9231,E,AW,West,Q&D inspection of logger data
NVWM1255,P,WM,West,
NVWM9034,E,WM,West,Q&D inspection of logger data
NYNE4129_V,I,NE,East,
NYNE8595_V,U,NE,East,
NYNE8602_B,I,NE,East,
NYNE8942_B,I,NE,East,
NYNE8943_B,P,NE,East,
NYNE8944_BO,U,NE,East,
NYNE9027_B,P,NE,East,
NYNE9028_B,I,NE,East,
NYNE9029_B,U,NE,East,
NYNE9030_B,I,NE,East,
NYNE9032_B,P,NE,East,
NYNE9111_B,I,NE,East,
NYNE9549_B,E,NE,East,
OHNE8283_B,P,NE,East,
OHNE8288_B,I,NE,East,
OHNE8419_B,E,NE,East,
OHNE8437_B,P,NE,East,
OHNE8465_B,I,NE,East,
OHNE8466_B,E,NE,East,
OHNE8471_B,E,NE,East,
OHNE8563_B,P,NE,East,
OHNE8605_V,E,NE,East,
OHNE8607_V,P,NE,East,
OHNE8621_V,E,NE,East,
OHNE8626_B,U,NE,East,
OHNE8633_B,I,NE,East,
OHNE8636_V,I,NE,East,
OHNE8640_V,E,NE,East,
OHNE8644_V,E,NE,East,
OHNE9125_B,I,NE,East,
OHNE9126_B,I,NE,East,
OHNE9127_B,P,NE,East,
OHNE9128_B,I,NE,East,
OKCB105,E,GP_C,GP,
OKCB37,E,GP_C,GP,
OKCB38,E,GP_C,GP,
OKCB39,I,GP_C,GP,
OKCB40,E,GP_C,GP,
OKCB41,U,GP_C,GP,
OKCB42,U,GP_C,GP,
OKCB43,I,GP_C,GP,
OKCV1073,P,GP_C,GP,
OKNE54_V,I,NE,East,
OKNE8133_B,I,NE,East,
OKNE9107_B,I,NE,East,
OKNE9194_B,U,NE,East,
OKNE9249_V,P,NE,East,
OKNE9439_B,E,NE,East,
OKNE9440_B,E,NE,East,
OKSE9161_B,I,SE,East,
OKSE9162_B,I,SE,East,
OKSE9266_B,I,SE,East,
OKSE9291_BO,I,SE,East,
OKSE9323_B,I,SE,East,
OKSE9354_B,P,SE,East,
OKSE9361_B,U,SE,East,
OKSE9559_V,I,SE,East,
OKSE9560_VO,I,SE,East,
OKSE9561_V,I,SE,East,
OKSE9562_V,I,SE,East,
OKSE9672_V,P,SE,East,
PANE0567_V,I,NE,East,
PANE3138_V,E,NE,East,
PANE3234_V,I,NE,East,
PANE3338_V,P,NE,East,
PANE3345_V,P,NE,East,
PANE8933_B,P,NE,East,
PANE9043_B,U,NE,East,
PANE9044_B,I,NE,East,
PANE9045_B,I,NE,East,
PANE9046_B,U,NE,East,
PANE9679_V,P,NE,East,
PANE9681_V,I,NE,East,
PANE9682_V,I,NE,East,
PANE9683_V,E,NE,East,
PRSE9539_B,U,CB,CB,
PRSE9540_B,P,CB,CB,
PRSE9541_B,P,CB,CB,
PRSE9542_B,U,CB,CB,
PRSE9543_B,P,CB,CB,
PRSE9544_B,U,CB,CB,
PRSE9545_B,I,CB,CB,
PRSE9546_B,E,CB,CB,
PRSE9547_B,I,CB,CB,
PRSE9586_V,P,CB,CB,
PRSE9587_V,P,CB,CB,
PRSE9588_V,U,CB,CB,
PRSE9589_V,P,CB,CB,
PRSE9590_V,P,CB,CB,
PRSE9597_B,E,CB,CB,
RINE4437_B,P,NE,East,
RINE9474_B,P,NE,East,
RINE9475_B,I,NE,East,
SCSE7520_V,P,SE,East,
SCSE7996_V,P,SE,East,
SCSE7998_V,I,SE,East,
SCSE8000_V,I,SE,East,
SCSE8328_V,E,SE,East,
SCSE8333_V,E,SE,East,
SCSE8336_B,I,SE,East,
SCSE8343_B,I,SE,East,
SCSE8347_B,P,SE,East,
SCSE8353_B,P,SE,East,
SCSE8359_B,P,SE,East,
SCSE8361_B,P,SE,East,
SCSE8363_B,E,SE,East,
SCSE8371_B,U,SE,East,
SCSE8377_B,P,SE,East,
SCSE8745_B,I,SE,East,
SCSE8746_B,I,SE,East,
SCSE9131_B,U,SE,East,
SCSE9134_B,E,SE,East,
SCSE9174_V,E,SE,East,
SCSE9178_V,E,SE,East,
SCSE9420_V,E,SE,East,
SCSE9424_V,E,SE,East,
SCSE9441_B,P,SE,East,
SDNB148,P,GP_N,GP,
SDNB149,I,GP_N,GP,
SDNB150,E,GP_N,GP,
SDNB16,I,GP_N,GP,
SDNB27,P,GP_N,GP,
SDNB36,I,GP_N,GP,
SDNB37,E,GP_N,GP,
SDNB38,I,GP_N,GP,
SDNB39,E,GP_N,GP,
SDNB40,E,GP_N,GP,
SDNB43,P,GP_N,GP,
SDNV1413,P,GP_N,GP,
SDNV1439,P,GP_N,GP,
SDNV1446,P,GP_N,GP,
SDNV1470,I,GP_N,GP,
SDNV1472,P,GP_N,GP,
SDNV1503,I,GP_N,GP,
SDNV2956,I,GP_N,GP,
SDUB1,I,GP_U,GP,
SDUB120,U,GP_U,GP,
SDUB121,I,GP_U,GP,
SDUB2,E,GP_U,GP,
SDUB24,I,GP_U,GP,
SDUB25,I,GP_U,GP,
SDUB28,U,GP_U,GP,
SDUV1557,P,GP_U,GP,
SDUV1570,P,GP_U,GP,
SDWM9163,I,WM,West,Q&D inspection of logger data
TNNE2131_V,I,NE,East,
TNNE2132_B,P,NE,East,
TNNE7972_B,I,NE,East,
TNNE8762_B,E,NE,East,
TNNE8765_B,I,NE,East,
TNNE9094_B,I,NE,East,
TNNE9097_B,I,NE,East,
TNNE9109_B,E,NE,East,
TNNE9463_B,I,NE,East,
TNNE9464_B,E,NE,East,
TNNE9487_B,E,NE,East,
TNNE9489_B,P,NE,East,
TNNE9490_V,P,NE,East,
TNNE9512_B,I,NE,East,
TNNE9513_B,I,NE,East,
TXAW9189,E,AW,West,Q&D inspection of logger data
TXAW9194,E,AW,West,Q&D inspection of logger data
TXAW9197,I,AW,West,L2 was half-buried in sediment
TXAW9198,I,AW,West,Borderline IE
TXAW9199,I,AW,West,Q&D inspection of logger data
TXAW9251,I,AW,West,Q&D inspection of logger data
TXAW9253,E,AW,West,Q&D inspection of logger data
TXAW9254,E,AW,West,Q&D inspection of logger data
TXAW9255,E,AW,West,Q&D inspection of logger data
TXAW9256,E,AW,West,Q&D inspection of logger data
TXAW9273,I,AW,West,Q&D inspection of logger data
TXAW9276,E,AW,West,Q&D inspection of logger data
TXCB127,E,GP_C,GP,
TXCB128,E,GP_C,GP,
TXCB129,I,GP_C,GP,
TXCB130,E,GP_C,GP,
TXCB54,E,GP_C,GP,
TXCB55,I,GP_C,GP,
TXCV122,E,GP_C,GP,
TXCV123,I,GP_C,GP,
TXCV164,P,GP_C,GP,
TXSB10,I,GP_S,GP,
TXSB109,E,GP_S,GP,
TXSB11,U,GP_S,GP,
TXSB111,P,GP_S,GP,
TXSB113,P,GP_S,GP,
TXSB119,E,GP_S,GP,
TXSB12,U,GP_S,GP,
TXSB13,E,GP_S,GP,
TXSB130,E,GP_S,GP,
TXSB131,E,GP_S,GP,
TXSB14,P,GP_S,GP,
TXSB15,I,GP_S,GP,
TXSB16,I,GP_S,GP,
TXSB17,P,GP_S,GP,
TXSB19,U,GP_S,GP,
TXSB20,U,GP_S,GP,
TXSB21,I,GP_S,GP,
TXSB26,U,GP_S,GP,
TXSB27,I,GP_S,GP,
TXSB29,U,GP_S,GP,
TXSB30,U,GP_S,GP,
TXSB33,E,GP_S,GP,
TXSB34,U,GP_S,GP,
TXSB35,E,GP_S,GP,
TXSB36,E,GP_S,GP,
TXSB38,E,GP_S,GP,
TXSB39,I,GP_S,GP,
TXSB40,P,GP_S,GP,
TXSB5,I,GP_S,GP,
TXSB57,E,GP_S,GP,
TXSB59,I,GP_S,GP,
TXSB6,U,GP_S,GP,
TXSB60,P,GP_S,GP,
TXSB61,U,GP_S,GP,
TXSB62,E,GP_S,GP,
TXSB7,U,GP_S,GP,
TXSB8,P,GP_S,GP,
TXSB9,E,GP_S,GP,
TXSE5103_V,I,SE,East,
TXSE5120_V,P,SE,East,
TXSE5123_V,I,SE,East,
TXSE5134_V,P,SE,East,
TXSE5247_V,P,SE,East,
TXSE8959_B,U,SE,East,
TXSE9431_B,E,SE,East,
TXSE9433_B,U,SE,East,
TXSE9437_B,I,SE,East,
TXSE9466_V,E,SE,East,
TXSE9467_V,E,SE,East,
TXSE9496_BO,E,SE,East,
TXSE9497_B,I,SE,East,
TXSE9498_B,I,SE,East,
TXSE9499_B,U,SE,East,
TXSE9500_BO,E,SE,East,
TXSE9501_B,P,SE,East,
TXSE9502_B,I,SE,East,
TXSE9503_B,I,SE,East,
TXSE9504_B,I,SE,East,
TXSE9505_B,U,SE,East,
TXSE9511_B,I,SE,East,
TXSE9619_V,E,SE,East,
TXSE9620_V,I,SE,East,
TXSE9621_V,P,SE,East,
TXSE9622_V,E,SE,East,
TXSE9623_V,I,SE,East,
TXSE9624_V,P,SE,East,
TXSV148,P,GP_S,GP,
TXSV152,P,GP_S,GP,
TXSV154,I,GP_S,GP,
TXSV262,P,GP_S,GP,
TXSV276,I,GP_S,GP,
TXSV2937,I,GP_S,GP,
TXSV310,U,GP_S,GP,
TXSV3223,P,GP_S,GP,
TXSV3224,E,GP_S,GP,
TXSV3314,I,GP_S,GP,
TXSV3315,I,GP_S,GP,
TXSV3316,E,GP_S,GP,
TXSV3317,P,GP_S,GP,
TXSV334,E,GP_S,GP,
TXSV338,P,GP_S,GP,
TXSV353,I,GP_S,GP,
TXSV409,I,GP_S,GP,
TXSV419,I,GP_S,GP,
TXSV438,P,GP_S,GP,
TXSV452,P,GP_S,GP,
TXSV455,P,GP_S,GP,
TXSV65420,E,GP_S,GP,
TXSV65431,E,GP_S,GP,
UTAW1033,P,AW,West,
UTAW1358,P,AW,West,Review. Probably P with frozen times
UTAW1360,P,AW,West,Q&D inspection of logger data
UTAW1363,E,AW,West,Q&D inspection of logger data
UTAW1364,P,AW,West,Q&D inspection of logger data
UTAW1367,E,AW,West,Q&D inspection of logger data
UTAW1371,P,AW,West,Q&D inspection of logger data
UTAW1385,P,AW,West,Q&D inspection of logger data
UTAW1420,I,AW,West,Borderline IE
UTAW1542,P,AW,West,
UTAW1543,I,AW,West,Q&D inspection of logger data
UTAW9067,E,AW,West,Likely E but could be I
UTAW9073,E,AW,West,Q&D inspection of logger data
UTAW9080,E,AW,West,Q&D inspection of logger data
UTWM1015,P,WM,West,
UTWM1091,E,WM,West,Likely E but could be I
UTWM1096,P,WM,West,
UTWM1150,E,WM,West,
UTWM1152,P,WM,West,
UTWM1363,E,WM,West,
UTWM1389,P,WM,West,Q&D inspection of logger data
UTWM1408,P,WM,West,Q&D inspection of logger data
UTWM1419,P,WM,West,
UTWM1431,I,WM,West,
UTWM1447,I,WM,West,
UTWM1454,P,WM,West,Q&D inspection of logger data
UTWM1872,E,WM,West,Q&D inspection of logger data
UTWM1875,E,WM,West,
UTWM1876,E,WM,West,Q&D inspection of logger data
UTWM1878,E,WM,West,Q&D Interpretation of logger data
UTWM1879,E,WM,West,
UTWM9094,E,WM,West,Q&D Interpretation of logger data
UTWM9096,E,WM,West,Q&D Interpretation of logger data
VANE8895_B,P,NE,East,
VANE8896_B,I,NE,East,
VANE8897_B,I,NE,East,
VANE9099_B,P,NE,East,
VANE9100_B,I,NE,East,
VANE9101_B,P,NE,East,
VANE9102_V,P,NE,East,
VANE9114_B,E,NE,East,
VANE9121_B,P,NE,East,
VANE9670_V,E,NE,East,
VANE9671_V,P,NE,East,
VISE9145_V,I,CB,CB,
VISE9147_V,P,CB,CB,
VISE9148_V,I,CB,CB,
VISE9150_V,E,CB,CB,
VISE9151_V,E,CB,CB,
VISE9152_V,E,CB,CB,
VISE9155_V,I,CB,CB,
VISE9157_V,P,CB,CB,
VTNE8647_B,U,NE,East,
VTNE8649_V,E,NE,East,
VTNE8873_V,I,NE,East,
VTNE8874_V,I,NE,East,
VTNE8875_B,I,NE,East,
VTNE8877_B,P,NE,East,
VTNE9036_V,P,NE,East,
VTNE9038_B,P,NE,East,
VTNE9039_V,P,NE,East,
VTNE9042_B,I,NE,East,
WIUB11,P,GP_U,GP,
WIUB12,P,GP_U,GP,
WIUB128,U,GP_U,GP,
WIUB129,I,GP_U,GP,
WIUB130,I,GP_U,GP,
WIUB137,P,GP_U,GP,
WIUB138,P,GP_U,GP,
WIUB14,U,GP_U,GP,
WIUB15,P,GP_U,GP,
WIUB18,P,GP_U,GP,
WIUB19,I,GP_U,GP,
WIUB20,P,GP_U,GP,
WIUB21,I,GP_U,GP,
WIUB22,P,GP_U,GP,
WIUB3,P,GP_U,GP,
WIUB32,P,GP_U,GP,
WIUB33,I,GP_U,GP,
WIUB34,U,GP_U,GP,
WIUB35,E,GP_U,GP,
WIUB36,P,GP_U,GP,
WIUB37,E,GP_U,GP,
WIUB38,P,GP_U,GP,
WIUB39,U,GP_U,GP,
WIUB40,P,GP_U,GP,
WIUB42,U,GP_U,GP,
WVNE8653_B,E,NE,East,
WVNE8661_B,I,NE,East,
WVNE8664_B,I,NE,East,
WVNE9104_B,I,NE,East,
WVNE9105_B,E,NE,East,
WVNE9106_B,P,NE,East,
WYAW0753,E,AW,West,
WYAW1471,P,AW,West,"L2 was noted as being above the sediment. Half the record is missing, but gage supports P? Gage misses low flows"
WYAW1472,I,AW,West,
WYAW1473,P,AW,West,Q&D Interpretation of logger data
WYAW1474,I,AW,West,
WYAW1476,I,AW,West,
WYAW1477,P,AW,West,Likely P due to L1 being placed near bank. Nearby gage suggests perennial
WYAW1481,P,AW,West,Q&D Interpretation of logger data
WYAW9130,E,AW,West,Q&D Interpretation of logger data
WYAW9131,E,AW,West,Q&D Interpretation of logger data
WYAW9135,E,AW,West,Q&D Interpretation of logger data
WYAW9140,E,AW,West,Q&D Interpretation of logger data
WYAW9141,E,AW,West,Q&D Interpretation of logger data
WYCB47,P,GP_C,GP,
WYCB48,E,GP_C,GP,
WYCV2921,E,GP_C,GP,
WYNB1,E,GP_N,GP,
WYNB18,E,GP_N,GP,
WYNB25,I,GP_N,GP,
WYNB31,I,GP_N,GP,
WYNB44,U,GP_N,GP,
WYNB6,P,GP_N,GP,
WYNB900,U,GP_N,GP,
WYNV2883,E,GP_N,GP,
WYNV2887,E,GP_N,GP,
WYNV2922,E,GP_N,GP,
WYNV634,P,GP_N,GP,
WYNV646,P,GP_N,GP,
WYNV667,I,GP_N,GP,
WYWM0749,P,WM,West,
WYWM0754,I,WM,West,
WYWM0774,I,WM,West,
WYWM1494,P,WM,West,
WYWM1495,P,WM,West,
WYWM1500,I,WM,West,
WYWM1510,P,WM,West,
WYWM1521,I,WM,West,"Review more closely. Longest flow is ~43, so borderline I."
WYWM1523,I,WM,West,Q&D Interpretation of logger data
WYWM1529,P,WM,West,
WYWM1530,P,WM,West,
WYWM1531,P,WM,West,
WYWM1534,P,WM,West,
WYWM1535,I,WM,West,
WYWM1536,P,WM,West,"Review more closely. Looks I, but does not match field observations (suggests P)"
WYWM1537,P,WM,West,
WYWM1540,P,WM,West,
WYWM1841,E,WM,West,
WYWM1913,E,WM,West,
WYWM1914,I,WM,West,
WYWM1915,I,WM,West,
WYWM1916,I,WM,West,
WYWM9146,I,WM,West,"Review more closely. Longest flow is ~44, so borderline I."
WYWM9147,I,WM,West,Q&D Interpretation of logger data
WYWM9148,U,WM,West,REJECT. P or I fuzzy. Loggers show brief dry periods but they don't match field observations. We suspect this is due to logger being deployed above the surface
WYWM9154,P,WM,West,"Review. Could be P or I. Some dry periods indicated in L1, but none in L2. Field observations show wet conditions on those days"
WYWM9155,I,WM,West,Q&D Interpretation of logger data
