SiteCode,DRNAREA_mi2
AZAW0006,0.15
AZAW0007,80.22
AZAW0008,7
AZAW0022,271.75
AZAW0032,1.64
AZAW0033,16.03
AZAW0035,0.01
AZAW0035,0.03
AZAW0041,7.62
AZAW0042,0.28
AZAW0044,46.02
AZAW0046,10.15
AZAW0050,0.17
AZAW0050,0.24
AZAW0051,708.86
AZAW0053,2.49
AZAW0055,796.41
AZAW0065,880.94
AZAW0066,29.45
AZAW0081,0.05
AZAW0082,255.19
AZAW0084,35.23
AZAW0085,909.93
AZAW0086,1.92
AZAW0090,44.68
AZAW0099,15.36
AZAW0103,1216.17
AZAW0105,1061.78
AZWM0113,5.97
AZWM0114,22.16
AZWM0114,22.13
AZWM0114,22.14
AZWM0115,0.05
AZWM0116,0.08
AZWM0118,0.05
AZWM0119,4.78
AZWM0120,67.94
AZWM0121,83.32
AZWM0121,83.29
AZWM0122,0.55
AZWM0123,0.17
AZWM0124,21.72
AZWM0124,21.69
AZWM1588,10.09
AZWM1590,39.6
AZWM1591,29.1
AZWM1842,0.19
AZWM1843,2.28
AZWM1848,5.52
AZWM1853,22.07
AZWM1854,9.74
AZWM1855,0.7
AZWM1867,6.2
CAAW0242,5.91
CAAW0244,18.4
CAAW0249,213.7
CAAW0281,61.9
CAAW0332,14.1
CAAW0354,36.6
CAAW0377,56.7
CAAW0381,128.4
CAAW0387,5.5
CAAW0392,7.3
CAAW0394,1.7
CAAW0396,0.3
CAAW0410,109.6
CAAW0412,53.7
CAAW0414,221.1
CAAW0419,13.2
CAAW0426,5.4
CAWM0477,2.8
CAWM0478,0.1
CAWM0478,0.02
CAWM0478,0.01
CAWM0485,406.1
CAWM0495,180.2
CAWM0507,22.4
CAWM0519,221.4
CAWM0519,221.5
CAWM0522,0.7
CAWM0523,0.8
CAWM0525,34.9
CAWM0528,0.1
CAWM0549,17.7
CAWM0549,17.8
CAWM0566,11.8
CAWM0588,0.05
CAWM0588,0.7
CAWM0592,1.1
CAWM0595,9.6
CAWM0598,0.01
CAWM0609,53.9
CAWM0610,36.7
CAWM0621,590.2
CAWM0652,20.8
CAWM0657,1.8
CAWM0657,5
CAWM0672,18.7
CAWM0684,16.1
CAWM0697,50.3
CAWM0718,4.5
CAWM0720,107.3
CAWM0724,386.6
CAWM0736,4
CAWM1822,0.04
CAWM1831,2.7
CAWM1871,2.1
CAWM1882,5.4
CAWM1891,0.5
CAWM1892,0.2
CAWM1894,4.4
CAWM1895,1.7
CAWM1898,0.1
CAWM1899,0.2
CAWM1900,0.1
CAWM1902,0.6
COAW0746,2.77
COAW0751,95.9
COAW0765,1.99
COAW0767,168
COAW0775,19.2
COAW0777,0.6
COAW0781,0.12
COAW0782,18.4
COAW0785,2030
COAW0792,16.3
COAW1383,51.9
COWM0780,1.92
COWM0821,1.69
COWM0841,1.85
COWM0852,374
COWM0852,34.4
COWM0854,0.24
COWM0861,1.21
COWM0862,21.8
COWM0873,5.52
COWM0876,5.45
COWM0905,0.44
COWM0929,0.09
COWM0929,0.1
COWM0940,0.42
COWM0940,0.43
COWM0944,0.97
COWM0973,0.53
COWM0973,0.52
COWM0989,0.09
COWM1002,0.23
COWM1004,1.32
COWM1019,184
COWM1029,0.46
COWM1029,0.48
COWM1030,0.14
COWM1092,237
COWM1093,9.5
COWM1156,12.1
COWM1156,12.2
COWM1172,41
COWM1361,1.41
COWM1368,20.1
COWM1368,17
COWM1421,1.68
MTWM1563,0.04
MTWM1569,0.08
MTWM1711,0.98
MTWM1726,0.06
MTWM1736,1.33
MTWM1753,0.08
MTWM1785,0.17
MTWM1813,0.11
MTWM1815,0.06
MTWM1835,0.04
MTWM1840,0.02
MTWM1904,0.9
MTWM1905,0.18
MTWM1906,0.17
MTWM1907,0.06
MTWM1908,0.15
MTWM1910,0.16
NMAW1261,184
NMAW1266,412
NMAW1273,43.1
NMAW1274,11.6
NMAW1278,454
NMAW1279,56.7
NMAW1284,835
NMAW1291,130
NMAW1292,942
NMAW1293,0.2
NMAW1294,0.066
NMAW1295,206
NMAW1296,428
NMAW1299,0.17
NMWM1300,116
NMWM1301,0.05
NMWM1301,220
NMWM1302,153
NMWM1303,0.04
NMWM1303,218
NMWM1311,9.08
NMWM1314,80.5
NMWM1316,92.3
NMWM1318,3.38
NMWM1319,4.68
NMWM1319,4.63
NMWM1320,0.32
NMWM1333,8.12
NMWM1335,0.33
NMWM1856,97.5
NMWM1857,0.11
NVAW1190,0.04
NVAW1191,0.54
NVAW1193,0.03
NVAW1204,0.31
NVAW1205,0.3
NVAW1206,0.05
NVAW1207,0.98
NVAW1210,0.31
NVAW1211,0.09
NVAW1212,0.62
NVAW1231,0.83
NVAW1234,0.18
NVAW1236,0.05
NVAW1237,0.03
NVAW1238,0.19
NVAW1242,0.43
NVAW1242,0.49
NVAW1243,0.34
NVAW1244,0.19
NVAW1245,0.21
NVAW1247,0.5
NVWM1255,0.07
NVWM1255,0.02
NVWM1255,0.09
NVWM1255,0.05
UTAW1033,27.5
UTAW1542,2.87
UTWM1015,0.66
UTWM1096,0.94
UTWM1150,12.5
UTWM1152,14.8
UTWM1363,3.51
UTWM1419,102
UTWM1431,49.9
UTWM1447,0.046
UTWM1875,2.16
UTWM1879,0.93
WYAW0753,0.04
WYAW1472,0.02
WYAW1474,0.02
WYAW1476,20.14
WYWM0749,0.1
WYWM0749,0.22
WYWM0749,2.6
WYWM0754,0.25
WYWM0754,0.24
WYWM0754,0.04
WYWM0774,0.08
WYWM0774,0.09
WYWM0774,32.8
WYWM0774,32.7
WYWM1494,0.07
WYWM1495,0.02
WYWM1500,0.03
WYWM1500,0.05
WYWM1500,0.13
WYWM1510,0.13
WYWM1521,0.13
WYWM1521,0.1
WYWM1521,0.08
WYWM1521,0.12
WYWM1523,0.1
WYWM1523,0.15
WYWM1523,0.22
WYWM1523,0.12
WYWM1529,0.08
WYWM1530,0.05
WYWM1530,0.36
WYWM1530,0.02
WYWM1530,0.17
WYWM1531,0.09
WYWM1534,0.03
WYWM1534,0.05
WYWM1535,0.05
WYWM1535,0.21
WYWM1537,0.35
WYWM1537,0.38
WYWM1540,0.03
WYWM1540,61.6
WYWM1841,0.06
WYWM1913,0.05
WYWM1914,0.12
WYWM1915,0.03
WYWM1916,0.02
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
